1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,-157
3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,-80,0
5,0,0,0,5,5,0,1,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,-20
7,2,0,0,6,0,1,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,80,-20
9,2,0,0,9,0,0,0,0,1,0,0,2,0,0,11,1,0,0,0,0,0,0,475,40
11,2,0,0,11,0,0,1,0,1,0,0,2,0,0,14,2,0,0,0,0,0,0,510,390
13,2,0,0,11,3,0,0,0,2,0,0,2,0,0,16,3,0,0,0,0,0,0,950,940
15,2,0,0,10,5,0,1,0,2,0,0,2,0,0,16,6,0,0,0,0,0,0,985,760
17,2,0,0,11,6,0,0,0,3,0,0,2,0,0,13,9,2,0,0,0,0,0,1265,1193
19,2,0,0,8,6,1,0,1,3,0,0,2,0,0,15,10,1,0,0,1,0,0,1910,2147483647
21,2,0,0,10,7,1,0,0,3,0,1,2,0,0,16,11,1,1,0,1,0,0,1870,2147483647
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,-42
3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,-80,-122
5,0,0,0,3,5,2,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,-315,-35
7,0,0,0,6,5,1,0,0,1,0,0,0,0,0,9,3,0,0,0,1,0,0,80,-12
9,0,0,0,9,5,0,0,0,2,0,0,0,0,0,12,4,0,0,0,1,0,0,475,510
11,0,0,0,10,8,0,0,0,2,0,0,0,0,0,11,3,0,1,1,0,0,0,-35,657
13,2,0,0,14,8,0,0,0,2,0,0,0,0,0,9,6,0,0,1,0,0,0,102,1602
15,2,0,0,12,10,0,0,1,2,0,0,0,0,0,11,7,0,0,0,1,0,0,1567,1547
17,2,0,0,13,9,1,0,0,3,0,0,0,0,0,12,10,0,0,0,0,0,0,1647,1537
19,2,0,0,14,10,0,0,0,4,0,0,0,0,0,12,14,0,0,0,0,0,0,2042,1380
21,2,0,0,9,14,1,0,0,5,0,0,0,0,0,7,17,1,0,1,0,0,0,1547,2007
23,2,0,0,11,15,1,0,0,4,0,0,0,0,0,10,18,1,0,0,1,0,0,1537,2289
25,4,0,0,10,14,2,2,0,4,0,0,0,0,0,9,20,1,0,0,0,0,0,2344,2586
27,4,0,0,11,15,2,1,0,4,0,0,0,0,0,10,21,1,1,0,0,0,0,2244,10899
29,6,0,0,16,15,2,1,1,3,0,0,0,0,0,10,19,1,0,0,0,0,0,3056,11279
31,6,0,0,15,18,2,2,1,3,0,0,0,0,0,10,20,1,1,0,0,0,0,3056,20199
33,8,0,0,21,16,2,2,1,3,0,1,0,0,0,11,20,0,0,0,0,0,0,13528,102451
35,8,0,0,17,19,2,3,2,3,0,0,0,0,0,9,21,1,0,0,0,0,0,13468,2147483647
37,8,0,0,17,19,2,3,2,3,0,1,0,0,0,12,22,1,0,0,0,0,0,14433,2147483647
39,8,0,1,19,20,1,4,2,3,0,0,0,0,0,15,22,1,0,0,0,0,0,113378,2147483647
41,8,0,1,20,20,2,3,0,1,1,1,2,0,0,17,22,3,0,0,0,0,0,121176,2147483647
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,-42
3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,-80,-122
5,0,0,0,3,5,2,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,-315,-35
7,0,0,0,6,5,1,0,0,1,0,0,0,0,0,9,3,0,0,0,1,0,0,80,-12
9,0,0,0,9,5,0,0,0,2,0,0,0,0,0,12,4,0,0,0,1,0,0,475,510
11,0,0,0,10,8,0,0,0,2,0,0,0,0,0,11,3,0,1,1,0,0,0,-35,657
11,0,0,0,11,7,0,0,0,2,0,0,0,0,0,15,5,0,0,0,0,0,0,970,1020
13,0,0,0,10,9,0,0,0,3,0,0,0,0,0,17,6,0,0,0,0,0,0,1445,803
15,0,0,0,13,9,0,0,0,2,0,0,0,0,0,20,7,0,0,0,0,0,0,940,400
17,0,0,0,12,12,0,1,0,2,0,0,0,0,0,19,9,1,0,0,0,0,0,895,415
19,0,0,0,15,12,0,1,0,1,0,0,0,0,0,22,10,1,0,0,0,0,0,390,128
21,0,0,0,13,13,0,0,0,2,0,0,2,0,0,25,10,1,1,0,0,0,0,703,-35
23,0,0,0,12,15,0,1,0,2,0,0,2,0,0,21,12,2,1,0,1,0,0,183,-440
25,2,0,0,15,9,1,1,0,2,0,0,4,0,0,24,12,1,1,0,1,0,0,273,1220
27,4,0,0,17,7,0,1,2,2,0,0,4,0,0,22,11,1,0,0,0,0,1,10880,1543
29,4,0,0,15,7,0,1,2,1,0,0,6,0,0,26,11,1,0,0,0,0,0,11118,1413
31,4,0,0,15,10,0,0,2,2,0,0,6,0,0,23,12,2,0,1,0,0,0,10508,9588
33,4,0,0,14,12,0,1,1,2,1,0,6,0,0,22,15,3,0,1,0,0,0,19453,10518
35,4,0,0,13,16,0,0,1,3,1,0,6,0,0,21,16,3,1,0,0,1,0,10868,2147483647
35,4,0,0,13,16,0,0,1,3,0,1,6,0,0,23,17,2,1,1,0,0,0,10943,2147483647
37,4,0,0,13,19,0,0,0,3,1,1,6,0,0,22,19,2,2,0,0,1,0,10908,2147483647
