Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
37,8,0,0,19,9,3,2,1,5,1,0,4,0,0,21,11,0,0,0,1,1,0,12854,2027
39,8,0,0,22,10,3,2,1,5,1,0,4,0,0,25,11,0,0,0,1,0,1,21849,12137
41,8,0,0,19,13,3,4,1,4,1,0,4,0,0,25,14,0,0,0,1,0,0,22419,12719
43,8,0,0,20,16,3,4,0,4,1,0,4,0,0,25,15,0,0,0,1,0,0,12439,21432
45,8,0,0,21,17,2,3,1,4,1,0,4,0,0,26,17,0,0,0,0,0,1,21784,22234
47,8,0,0,23,19,2,3,1,4,1,0,4,0,0,26,18,0,0,1,0,0,0,21809,102269
49,8,0,0,25,20,2,3,1,4,1,0,4,0,0,28,20,0,0,0,1,0,0,22304,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,11,1,1,0,0,1,0,0,0,0,0,16,4,0,0,0,0,0,0,535,200
11,0,0,0,13,3,1,0,0,1,0,0,0,0,0,15,6,0,0,1,0,0,0,-435,238
13,0,0,1,13,2,0,2,0,0,0,0,0,0,0,14,9,1,0,1,0,0,0,98955,-80
15,0,0,1,16,3,0,2,0,0,0,0,0,0,0,17,10,1,0,1,0,0,0,98955,-112
17,0,0,1,19,4,0,2,0,0,0,0,0,0,0,19,11,0,0,1,1,0,0,98565,193
19,2,0,1,19,4,2,2,0,1,0,0,0,0,0,18,11,0,0,1,0,0,0,99817,2147483647
21,2,0,1,20,2,0,2,1,1,0,0,0,0,0,18,15,0,0,1,0,0,0,100597,2147483647
23,2,0,0,21,5,0,1,1,2,0,0,2,0,0,20,13,1,1,1,0,0,0,870,2147483647
25,2,0,0,20,6,1,1,0,1,0,0,4,0,0,25,11,1,1,1,0,0,0,-697,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,11,1,1,0,0,1,0,0,0,0,0,16,4,0,0,0,0,0,0,535,200
11,0,0,0,13,3,1,0,0,0,0,0,0,0,0,16,5,1,0,0,0,0,0,-40,-480
13,0,0,0,10,8,1,1,0,0,0,0,0,0,0,15,9,1,0,0,0,0,0,-5,-510
15,0,0,0,12,10,0,2,0,0,0,0,0,0,0,15,10,2,0,0,0,0,0,-130,930
17,0,0,0,11,12,0,2,0,1,0,0,0,0,0,18,11,0,2,0,0,0,0,435,1497
19,0,0,0,7,11,1,2,0,3,0,0,0,0,0,17,14,1,2,0,0,0,0,1385,2149
21,0,0,0,8,12,0,2,1,2,0,0,0,0,0,15,12,1,4,1,0,0,0,730,11655
23,0,0,0,8,13,0,3,0,2,1,0,0,0,0,17,14,1,4,1,0,0,0,9755,13570
25,0,0,0,8,14,0,2,0,2,1,0,2,0,0,22,12,1,3,1,1,0,0,9178,2147483647
27,0,0,0,8,13,0,1,1,3,0,0,4,0,0,22,11,2,5,1,1,0,0,306,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,11,1,1,0,0,1,0,0,0,0,0,16,4,0,0,0,0,0,0,535,200
11,0,0,0,13,3,1,0,0,0,0,0,0,0,0,16,5,1,0,0,0,0,0,-40,-480
13,0,0,0,12,5,1,0,1,0,0,0,0,0,0,17,7,0,0,1,0,0,0,40,-1305
15,0,0,0,14,7,0,1,1,0,0,0,0,0,0,16,9,0,0,1,1,0,0,-480,-2297
17,0,0,0,16,7,0,2,0,1,0,0,0,0,0,14,10,1,0,1,2,0,0,-1495,-1930
19,0,0,0,17,10,0,2,0,1,0,0,0,0,0,15,12,0,0,1,3,0,0,-1890,-442
21,0,0,0,12,11,1,3,1,0,0,1,0,0,0,12,13,2,1,1,3,0,0,8490,-240
23,2,0,0,14,12,1,3,1,0,0,1,0,0,0,9,14,0,1,1,2,0,1,-718,1136
25,4,0,0,16,10,3,3,1,0,0,1,0,0,0,9,14,1,1,1,0,0,1,514,-98111
27,4,0,0,15,10,4,4,0,0,1,1,0,0,0,11,15,1,1,0,0,1,1,629,-2147483648
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,85
5,0,0,0,9,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,475,-80
7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,-20,570
9,0,0,0,10,2,1,0,0,1,0,0,0,0,0,13,5,1,0,0,0,0,0,455,646
11,0,0,0,10,3,1,0,0,2,0,0,0,0,0,13,7,2,0,0,0,0,0,850,320
13,0,0,0,6,9,1,1,0,2,0,0,0,0,0,11,12,2,0,0,0,0,0,885,530
15,0,0,0,9,9,0,1,0,3,0,0,0,0,0,13,13,1,0,1,0,0,0,390,635
17,0,0,0,8,9,1,2,0,2,0,0,0,0,0,15,16,1,1,0,0,0,0,945,315
19,2,0,0,13,9,0,2,0,2,0,0,2,0,0,19,10,0,1,0,0,0,0,985,682
21,2,0,0,11,6,1,0,0,3,0,0,4,0,0,26,8,0,1,0,0,0,0,1268,1307
23,4,0,0,15,6,1,0,0,3,0,0,4,0,0,23,9,0,0,0,0,0,0,1505,1687
25,4,0,0,16,6,0,1,1,3,0,0,4,0,0,22,10,2,0,0,0,0,0,2270,11562
27,4,0,0,16,8,0,0,0,4,0,1,4,0,0,22,10,1,1,1,0,0,0,1780,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
